respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.060640970662817435,0.29448480700148966
26708,0.047384170403713524,0.046037690656875
26709,0.4476476229701601,0.5980997116663681
26710,0.4854937307521368,0.8771655760800937
26711,0.16023106803648887,0.4762726421538064
26712,0.4571926623870468,0.9227083327584178
26713,0.3645807381189177,0.5969067710438788
26714,0.14217582545709306,0.22079772281562626
26715,0.045613701913192875,0.16599276974817628
26716,0.21627750799410358,0.887010012885373
26717,0.01139687638280969,0.2696118936788803
26718,0.22558108300329568,0.5519420802056231
26719,0.07168345290607124,0.9176003624536647
26720,0.06713163492032005,0.2202653161710837
26721,0.33809343151152765,0.3550632003106133
26722,0.07478933461850494,0.08874658697044198
26723,0.6562842947751105,0.8544944352919883
26724,0.11870167627681842,0.6322151317352257
26725,0.026385314906864563,0.06728982111687921
26726,0.01504962689555078,0.0352951239462436
26727,0.3489328324804892,0.8465606612681448
26728,0.17386375881027705,0.5953072293555294
26729,0.35601697198594856,0.8548023149895415
26730,0.03813787024145767,0.20178190945595967
26731,0.019070859777775145,0.3388971597106283
26732,0.09594775994699982,0.07784209177999
26733,0.9169118563785148,0.954583513067338
26734,0.8791285317327358,0.3822352126239632
26735,0.16468032065216778,0.48514831017545335
26736,0.059883940407208174,0.16909751293623704
26737,0.08161908504467637,0.10648309298670011
26738,0.5843633121233759,0.8366339795114753
26739,0.11926806424471581,0.2938730825682487
26740,0.13632899251595046,0.13094260567847535
26741,0.205383236197606,0.9008764231566452
26742,0.11036592057750366,0.44042137006448956
26743,0.05040726490136234,0.5825940431055298
26744,0.059664931937616406,0.6594315793938176
26745,0.0997930521007822,0.9333135824278875
26746,0.12279894799408815,0.34495181254080154
26747,0.0733749602494467,0.18828263357395045
26748,0.10499064760820859,0.04278257951619267
26749,0.10289986677641587,0.7023645642872005
26750,0.6840153131706942,0.9319899664426812
26751,0.3007344841742438,0.721366433622499
26752,0.024527133033619523,0.019203648974663274
26753,0.21138932246923298,0.6806767070034698
26754,0.13474160203323604,0.6465712821222034
26755,0.10143943836362644,0.376874115250736
26756,0.018279429317273253,0.03323343847982806
26757,0.3948826311302026,0.5079395416529071
26758,0.7225412762369188,0.9008698797172697
26759,0.02452400273188136,0.17996755628087763
26760,0.014744000535795464,0.027690338842014328
26761,0.17886052890088686,0.6244164661669811
26762,0.14496815347992678,0.8322479048163024
26763,0.891521868054623,0.9691388785605521
26764,0.9199831704488007,0.9649483891589645
26765,0.029068979714684376,0.6848878006575331
26766,0.10776951512741857,0.18654733296726927
26767,0.769848382605223,0.7662573722660104
26768,0.012409860405341656,0.41006576359570857
26769,0.11765419119692351,0.16178254970030367
26770,0.09477873472773125,0.5382982550513724
26771,0.04979778995066996,0.19455970101787534
26772,0.055271159038373735,0.4261982285344562
26773,0.013632674640311591,0.4734294005989585
26774,0.02914234046209083,0.554044952064674
26775,0.07977082753100309,0.513211289508692
26776,0.3914122402220418,0.3049576940247184
26777,0.11090622505589671,0.9450290851441863
26778,0.11986917788439026,0.09613042146085171
26779,0.12487782359984274,0.5218753828347891
26780,0.11520733766515524,0.9618262662086494
26781,0.04486274840789585,0.48995559395842886
26782,0.045914996629178535,0.28244482237106644
26783,0.060214888377318525,0.30396898809411477
26784,0.41320933448797303,0.887849475343667
26785,0.36209264474274755,0.578571278644006
26786,0.08890069609965279,0.28895552008768993
26787,0.1066231965717406,0.509487165545349
26788,0.10190353396763505,0.9124984690271408
26789,0.011524543734918366,0.2359292309725387
26790,0.0631973169506135,0.2848801300922609
26791,0.07869648147420125,0.12791154261048687
26792,0.1962751715312235,0.7453280100121121
26793,0.1173725479847558,0.8964397054072565
26794,0.7710033887765033,0.8943217276347684
26795,0.05105692361223376,0.958391381905539
26796,0.04528954803015526,0.041728027241721775
26797,0.10797918074685271,0.6435117641950906
26798,0.196626356149762,0.15975449478285453
26799,0.27560426579286834,0.2084440380713015
26800,0.03411637355054131,0.9175737804735797
26801,0.2723910578585833,0.4115450828576325
26802,0.0786205608998436,0.15743945965842066
26803,0.055340887033760534,0.16812326120281032
26804,0.07110096078407978,0.12731620266334814
26805,0.08449086245670231,0.213203733885671
